City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2022-07-20 06:31:26,-34.4187,19.2345,52.48,68,96,5.41
68,Belaya Gora,RU,2022-07-20 06:31:27,68.5333,146.4167,47.43,65,100,5.5
69,Zastavna,UA,2022-07-20 06:31:27,48.5231,25.8437,75.0,44,88,5.23
70,Prince George,CA,2022-07-20 06:29:03,53.9166,-122.753,52.25,86,0,3.44
71,High Level,CA,2022-07-20 06:30:26,58.5169,-117.136,57.31,88,0,4.61
72,Atar,MR,2022-07-20 06:31:28,20.5169,-13.0499,79.66,53,1,6.26
73,Hilo,US,2022-07-20 06:28:49,19.7297,-155.09,74.93,83,40,4.61
74,Dong Hoi,VN,2022-07-20 06:28:59,17.4833,106.6,89.44,65,95,8.03
75,Milkovo,RU,2022-07-20 06:31:29,54.7167,158.6167,86.94,52,1,1.77
76,Sangar,RU,2022-07-20 06:31:29,63.9242,127.4739,77.05,59,100,5.61
77,Puerto Ayora,EC,2022-07-20 06:31:30,-0.7393,-90.3518,67.55,99,96,1.99
78,Baturaja,ID,2022-07-20 06:31:30,-4.1333,104.1667,91.65,50,14,4.97
79,Chernigovka,RU,2022-07-20 06:31:31,44.3389,132.5728,78.55,71,51,3.78
80,Kaitangata,NZ,2022-07-20 06:31:31,-46.2817,169.8464,43.3,80,99,4.38
81,Aklavik,CA,2022-07-20 06:31:31,68.2191,-135.0107,59.95,70,76,7.56
82,Yellowknife,CA,2022-07-20 06:26:38,62.456,-114.3525,63.12,88,75,10.36
83,Chokurdakh,RU,2022-07-20 06:31:32,70.6333,147.9167,49.51,60,100,11.74
84,Gat,IL,2022-07-20 06:31:32,31.61,34.7642,89.4,100,0,8.25
85,Khatanga,RU,2022-07-20 06:31:33,71.9667,102.5,54.93,39,98,21.43
86,Ambilobe,MG,2022-07-20 06:31:33,-13.2,49.05,81.9,38,4,14.18
87,Potosi,BO,2022-07-20 06:31:34,-19.5836,-65.7531,39.67,81,22,2.64
88,Pak Phanang,TH,2022-07-20 06:30:42,8.3511,100.202,92.03,62,100,7.36
89,Pevek,RU,2022-07-20 06:31:34,69.7008,170.3133,32.36,97,100,15.93
90,Bloomington,US,2022-07-20 06:31:35,44.8408,-93.2983,75.52,64,20,15.01
91,Hamina,FI,2022-07-20 06:31:35,60.5697,27.1979,60.08,53,0,17.02
92,Simga,IN,2022-07-20 06:31:35,21.6333,81.7,84.78,67,91,12.3
93,Mareeba,AU,2022-07-20 06:31:36,-17.0,145.4333,75.43,75,63,4.32
94,Ancud,CL,2022-07-20 06:32:36,-41.8697,-73.8203,50.23,96,100,20.6
95,Bojnurd,IR,2022-07-20 06:32:37,37.4747,57.329,87.75,30,0,4.61
96,Norman Wells,CA,2022-07-20 06:32:37,65.282,-126.8329,57.24,77,40,2.3
97,Hadrut,AZ,2022-07-20 06:32:37,39.52,47.0318,86.59,31,6,11.92
98,Carnarvon,AU,2022-07-20 06:32:38,-24.8667,113.6333,76.51,49,16,17.31
99,Sulangan,PH,2022-07-20 06:32:38,11.1373,123.7228,84.83,72,6,4.29
100,Tuatapere,NZ,2022-07-20 06:32:39,-46.1333,167.6833,43.07,89,100,2.68
101,Kavaratti,IN,2022-07-20 06:32:39,10.5669,72.642,80.71,81,100,22.12
102,Hithadhoo,MV,2022-07-20 06:32:40,-0.6,73.0833,81.57,72,76,4.79
103,Mar Del Plata,AR,2022-07-20 06:32:40,-38.0023,-57.5575,44.62,83,0,12.66
104,Sinnamary,GF,2022-07-20 06:32:41,5.3833,-52.95,76.12,89,94,6.93
105,Riverton,US,2022-07-20 06:32:41,40.5219,-111.9391,79.21,42,0,10.0
106,Nova Serrana,BR,2022-07-20 06:32:41,-19.8761,-44.9836,57.92,71,0,3.18
107,Kirovskiy,RU,2022-07-20 06:32:42,45.0917,133.5136,78.73,70,26,5.14
108,Alofi,NU,2022-07-20 06:32:43,-19.0595,-169.9187,75.09,78,26,16.11
109,Sao Raimundo Nonato,BR,2022-07-20 06:32:43,-9.0153,-42.6994,66.22,75,7,3.74
110,Biharamulo,TZ,2022-07-20 06:32:44,-2.6319,31.3089,69.84,44,12,9.71
111,Buta,CD,2022-07-20 06:32:44,2.7858,24.73,71.65,89,100,0.65
112,Labuhan,ID,2022-07-20 06:32:45,-6.8844,112.2051,86.74,58,94,9.01
113,Port Hardy,CA,2022-07-20 06:32:45,50.6996,-127.4199,55.58,82,0,3.44
114,Kathmandu,NP,2022-07-20 06:28:23,27.7167,85.3167,79.02,78,75,2.3
115,Solnechnyy,RU,2022-07-20 06:32:46,50.7214,136.6319,62.4,84,91,5.19
116,Bambous Virieux,MU,2022-07-20 06:32:46,-20.3428,57.7575,71.85,64,75,19.57
117,Buritis,BR,2022-07-20 06:29:20,-15.6178,-46.4233,61.63,54,27,2.53
118,San Patricio,US,2022-07-20 06:32:47,28.017,-97.5169,85.89,85,0,14.36
119,Iqaluit,CA,2022-07-20 06:32:47,63.7506,-68.5145,38.93,100,100,8.05
120,Olinda,BR,2022-07-20 06:32:47,-8.0089,-34.8553,73.13,78,20,8.05
121,Constitucion,CL,2022-07-20 06:30:56,-35.3333,-72.4167,46.27,60,0,5.7
122,Qaqortoq,GL,2022-07-20 06:29:11,60.7167,-46.0333,45.23,98,100,3.02
123,Phenix City,US,2022-07-20 06:28:13,32.471,-85.0008,77.86,94,0,3.44
124,Ponta Do Sol,PT,2022-07-20 06:32:48,32.6667,-17.1,70.43,76,13,6.15
125,Talnakh,RU,2022-07-20 06:32:49,69.4865,88.3972,63.21,54,100,2.71
126,Roebourne,AU,2022-07-20 06:32:49,-20.7833,117.1333,78.08,34,0,14.7
127,Victoria,HK,2022-07-20 06:29:39,22.2855,114.1577,96.19,99,65,12.93
128,Saint-Augustin,CA,2022-07-20 06:32:50,51.226,-58.6502,58.01,96,100,27.47
129,Dhidhdhoo,MV,2022-07-20 06:32:50,6.8833,73.1,80.02,79,100,20.58
130,Ossora,RU,2022-07-20 06:32:51,59.2353,163.0719,61.93,77,100,13.44
