City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vaini,TO,-21.2,-175.2,77.16,83,20,11.5,few clouds
80,Chokurdakh,RU,70.6333,147.9167,62.71,26,85,7.36,overcast clouds
81,Sioux Lookout,CA,50.1001,-91.917,60.87,88,100,9.22,light intensity shower rain
82,Port Alfred,ZA,-33.5906,26.891,56.35,81,42,10.6,scattered clouds
83,Ostrovnoy,RU,68.0531,39.5131,64.92,81,59,10.76,broken clouds
84,Dwarka,IN,22.2394,68.9678,82.76,80,100,18.14,overcast clouds
85,Zaysan,KZ,47.4667,84.8667,84.36,24,65,8.75,broken clouds
86,Uige,AO,-7.6087,15.0613,59.41,95,38,3.36,scattered clouds
87,Port Elizabeth,ZA,-33.918,25.5701,48.49,93,0,5.75,clear sky
88,Castro,BR,-24.7911,-50.0119,58.17,86,100,2.59,overcast clouds
89,Fortuna,US,40.5982,-124.1573,62.1,76,46,6.08,scattered clouds
90,Kapaa,US,22.0752,-159.319,85.98,73,75,16.11,broken clouds
91,Dikson,RU,73.5069,80.5464,49.59,81,31,12.17,scattered clouds
92,Svencioneliai,LT,55.1667,26.0,63.07,74,0,1.45,clear sky
93,Rocky Mountain House,CA,52.3668,-114.9188,61.27,86,66,3.27,broken clouds
94,Kahului,US,20.8947,-156.47,84.22,67,0,26.46,clear sky
95,Kasungu,MW,-13.0333,33.4833,57.09,72,0,7.07,clear sky
96,Kapatan,PH,5.9006,125.2375,82.98,77,83,4.9,broken clouds
97,Christchurch,NZ,-43.5333,172.6333,51.42,76,75,10.36,broken clouds
98,Khandyga,RU,62.6667,135.6,84.78,40,94,6.96,overcast clouds
99,Kieta,PG,-6.2167,155.6333,84.29,62,40,4.41,scattered clouds
100,Tuatapere,NZ,-46.1333,167.6833,44.46,90,100,2.46,overcast clouds
101,Itanagar,IN,27.1,93.6167,76.05,97,100,3.22,overcast clouds
102,Lata,PT,40.1629,-8.3327,56.95,92,54,0.96,broken clouds
103,Bubaque,GW,11.2833,-15.8333,78.42,85,100,16.24,light rain
104,Nouadhibou,MR,20.931,-17.0347,75.18,88,5,3.44,clear sky
105,Aransas Pass,US,27.9095,-97.15,86.02,84,0,9.22,clear sky
106,Yellowknife,CA,62.456,-114.3525,66.72,45,75,3.44,broken clouds
107,Adrar,MR,20.5022,-10.0711,86.74,44,17,12.17,few clouds
